Name,Address,Online Order Accepted,Table booking allowed,Rating,Phone,Location,Restaurant type,Cuisine,Average cost for 2
Kalmane Koffees,"Second Floor, Garuda Mall, Magrath Road",No,No,3.6 ,+91 9972900626,Brigade Road,Cafe,Cafe,350
Pizza Cart,"239, 19th Main Road, Sector 4, HSR, Bangalore",Yes,No,3.8,"+91 7338233337
+91 7338433337",HSR,Quick Bites,Pizza,800
Crafted Plate,"1304, 1st Floor, 9th Cross, 20th Main, 2nd Phase, JP Nagar, Bangalore",Yes,Yes,4.2,"080 43023198
+91 8050088287",JP Nagar,"Casual Dining, Cafe","Cafe, Asian, Burger, Continental, Italian, Salad",600
JW Kitchen - JW Marriott Bengaluru,"JW Marriott, 24/1, Vittal Mallya Road, Lavelle Road, Bangalore",No,Yes,4.4,080 49652886,Lavelle Road,Fine Dining,"North Indian, Continental, Italian","2,200"
Sharief Bhai,"66, Ground Floor, JNC Road, Koramangala 5th Block, Bangalore",No,Yes,4.4 ,+91 8095752222,Koramangala 5th Block,Casual Dining,"Mughlai, Biryani",700
Foodhall,"Level 4, Trinity Circle, MG Road, Bangalore",Yes,No,4.0 ,080 71967804,MG Road,Casual Dining,"Italian, Bakery, Fast Food","1,000"
Hotel Aradhana,"193, N.S. Pallya, Bannerghatta Road, Bangalore",Yes,No,3.7,"+91 9731763663
+91 9448059620",Bannerghatta Road,Quick Bites,North Indian,300
Chai Point,"296, 60 Ft Main Road, A Block, AECS Layout, Kundalahalli, Brookefield, Bangalore",Yes,No,3.9 ,+91 8880141000,Brookefield,"Beverage Shop, Quick Bites","Fast Food, Beverages",250
Bharpur Aahar,"Shop L 10, Opposite NAL Quarters Gate, Jeevan Bhima Nagar Main Road, Bangalore",Yes,No,3.9,+91 6360538469,Jeevan Bhima Nagar,Quick Bites,"North Indian, Chinese",200
Swadista Aahar,"947, 16th Main Road, 2nd Stage, BTM, Bangalore",Yes,No,4.1 ,"+91 9844006825
+91 9844615361",BTM,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300
Biryani Palace,"L139, 15th Cross, 5th Main, Sector 6, HSR Layout, HSR, Bangalore",Yes,No,3.9 ,"+91 8105719991
+91 9742859940",HSR,Quick Bites,"Biryani, Hyderabadi, Chinese",600
Capsicum Family Restaurant,"774, 3rd Floor, 16th Main, 7th Cross, 2nd Stage, BTM, Bangalore",Yes,No,3.8,080 49652486,BTM,Casual Dining,"Biryani, North Indian",800
My Tea House,"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",Yes,No,3.6,"080 65975430
+91 7337733798",Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600
Makers of Milkshakes,"Lobby 1, Indus Shopping Complex, Opposite J P Morgan, Kadubesanahalli, Marathahalli, Bangalore",Yes,No,4.0 ,+91 9606588672,Marathahalli,Beverage Shop,Beverages,300
Faasos,"2318, Sector 1, Near NIFT College, HSR Layout, Bangalore",Yes,No,3.9,+91 7700020020,HSR,Quick Bites,"North Indian, Biryani, Fast Food",500
Cafe Cassia& Deli,"Cinnamon, Ground Floor, 24 Gangadhar Chetty Road, Opposite RBNAMS Ground, Ulsoor, Bangalore",No,No,4.2 ,080 41154102,Ulsoor,"Casual Dining, Cafe","Lebanese, Mediterranean, Cafe","1,000"
Habibi Falafel,"969, 1st Main, Koramangala 1st Block, Bangalore",Yes,No,4.3,"+91 7022311777
+91 8041225899",Koramangala 1st Block,Quick Bites,"Lebanese, Middle Eastern",300
Creamyum,"HBR Layout, Bangalore",No,No,4.0,+91 9916124731,HBR Layout,Delivery,"Bakery, Desserts",300
Salut,"382/71/4, 11th Main, 3rd Block, Jayanagar, Bangalore",Yes,Yes,4.1 ,"+91 8971285555
080 49709755",Jayanagar,"Pub, Casual Dining","Continental, Finger Food, Seafood, Pizza","1,200"
Nossa Goa,"38, Castle Street, Ashoknagar, Richmond Road, Bangalore",Yes,Yes,4.1 ,"+91 9980615061
+91 9789223761",Richmond Road,Casual Dining,"Goan, Seafood, Konkan, Desserts","1,000"
Mak n Vak - Fyn,"G1, Ground Floor, 356, 14th B Cross, 6th Main, Sector 6, HSR, Bangalore",Yes,No,3.9,+91 8861752567,HSR,Quick Bites,"North Indian, Chinese",500
Sugarberryz Cakery,"62, Meenakashi Kovil Street, Adjacent To Commercial Street",No,No,3.9 ,"+91 9844076148
+91 9900995756",Commercial Street,"Takeaway, Delivery","Bakery, Desserts","1,200"
Malabar Bay,"43, Krishna Nagar, SG Pallya Road, Near Christ College, BTM, Bangalore",Yes,Yes,4.2 ,"+91 8033037820
+91 7829999500",BTM,Casual Dining,"Kerala, Seafood, Chinese, Biryani, Juices",800
Pot Biryani,"128, First Floor, Behind ITPL Service Road, Pattandur Agrahara, Whitefield, Bangalore",Yes,No,3.1,"+91 9513803626
+91 9513803627",Whitefield,Quick Bites,"North Indian, Chinese, Biryani, Seafood",600
Hunan,"123, 1st Floor, KHB Colony, Koramangala 5th Block, Bangalore",No,Yes,4.3,080 25520154,Koramangala 5th Block,Casual Dining,"Chinese, Thai, Momos","1,100"
Kabab Magic,"1548, East End Circle, 9th Block, Jayanagar, Bangalore",Yes,No,4.0 ,080 26490895,Jayanagar,Quick Bites,"North Indian, Kebab, Fast Food",500
Sutra - The Lalit Ashok Bangalore,"The LaLiT Ashok, Kumara Krupa Road, Highgrounds, Seshadripuram, Bangalore",No,No,3.8 ,080 49652920,Seshadripuram,Lounge,"Continental, Chinese","2,200"
Prana,"66, Louis OMJ, AGS Layout, Near SBI Dollars Colony, New BEL Road, Bangalore",Yes,No,4.0 ,+91 7022776607,New BEL Road,Cafe,"Cafe, Healthy Food, South Indian",500
Raenss Cafe,"1210, Park Avenue Building, 100 Feet Road, Indiranagar, Bangalore",Yes,No,2.4,"080 41133234
080 49594650",Indiranagar,Cafe,"Cafe, Fast Food, Chinese",600
Mecaf Family Restaurant,"43, Sapthagiri Building, Near Christ University, 1st Main, DRC Post, Krishna Industrial Layout",Yes,No,3.9,"+91 8867535000
080 25535000",BTM,Casual Dining,"North Indian, Chinese, Fast Food, Rolls, Beverages",600
WAFL Co,"63, 5th Block, Jyoti Nivas College Road, Koramangala Bangalore",Yes,No,4.2,080 43758178,Koramangala 5th Block,Dessert Parlor,"Desserts, Beverages",400
Strikers Sports Bar and Music,"90, K H Road, Double Road, Office, Opposite KSRTC, Shanti Nagar, Bangalore",No,Yes,3.8,"+91 9742364993
+91 9741375529",Shanti Nagar,Bar,"Continental, North Indian, Chinese","1,200"
Wangs Kitchen,"21, Chinnapahalli Village, Outer Ring Road, Marathahalli, Bangalore",Yes,No,3.0,080 39253925,Marathahalli,Casual Dining,Chinese,"1,000"
Regency Park,"3826, Mariyappa Circle, Near Jalvayu Vihar, Kammanahalli Main Road, Kammanahalli, Bangalore",Yes,No,3.6,"080 25441410

080 25926368",Kammanahalli,Casual Dining,"North Indian, Chinese, Seafood, Rolls",700
Chettayees,"Chocolate Factory Road,7, 3rd Cross Cashire Layout ,1st Tavarekere",Yes,No,3.4 ,"+91 9847632951
+91 7259654051",BTM,Quick Bites,"Kerala, North Indian, Chinese",400
Cafe Terra,"1004, Wipro Signal, 80 Feet Road, 1st Block, Koramangala 1st Block, Bangalore",Yes,No,4.1 ,"080 41313553
+91 9739477277",Koramangala 1st Block,Cafe,"Cafe, Continental",700
New Punjabi Dhaba,"7th Cross, Sector 1, HSR, Bangalore",Yes,No,3.9,"+91 9972425476
+91 7829891318",HSR,Quick Bites,"North Indian, Chinese",300
Tapri By The Corner,"70/1, 4th Cross, 17B Main Road, KHB Block, Koramangala 5th Block, Bangalore",Yes,No,4.1 ,+91 7349385173,Koramangala 5th Block,Quick Bites,Fast Food,250
Deshi Fusion Pizza,"23, New Binnamangala, 1st Stage, Old Madras Road, Bangalore",Yes,No,3.3,"+91 7259160786
+91 9845369055",Old Madras Road,Delivery,"Pizza, Italian, Chinese, Rolls, Biryani",750
WYT RestroPub,"65-66, Hotel Komfort Terraces, MG Road, Bangalore",No,No,2.7,"+91 9481189650
080 40097000",MG Road,Pub,"North Indian, Chinese","1,000"
Bakingo,"2, 1st Floor, 4th Cross, Jakkasandra Extension, Sarjapur Road, Near Ujivan Finance Bank, Koramangala 1st Block, Bangalore",Yes,No,4.0,080 45128823,Koramangala 1st Block,Bakery,"Bakery, Desserts",500
InnerChef,"1st Floor, 1st Cross, Besides Bosch, Koramangala 7th Block, Bangalore",Yes,No,3.8,"080 41202278
+91 7829745705",Koramangala 7th Block,Delivery,"North Indian, Continental",500
Myu Bar at Gilly's Redefined,"413, 100 Feet Road, Koramangala 4th Block, Bangalore",No,Yes,4.5 ,080 49653043,Koramangala 4th Block,"Microbrewery, Bar","American, North Indian, Pizza, Finger Food, Continental, Italian","1,200"
Szechuan Dragon,"1502, 19th Main Road, Sector 1, HSR, Bangalore",Yes,No,4.0,+91 9513187711,HSR,Delivery,"Chinese, Thai, Momos",600
The Waffle Yard,"80 Feet Road, RMV Extension, Ashwathnagar, New BEL Road, Bangalore",No,No,4.2 ,"+91 9886540545
+91 7977178067",New BEL Road,"Dessert Parlor, Quick Bites","Desserts, Fast Food",300
Cafe Potpourri,"204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore",Yes,No,3.7,"+91 8884553680
+91 7026274274",JP Nagar,Cafe,"Cafe, Sandwich, North Indian, Beverages, Desserts",400
Harry's Bar + Cafe,"1, SJR Primus, 1st Floor, Opposites Forum Mall Signal, Koramangala 7th Block, Bangalore",Yes,Yes,4.2,"+91 8376863192
+91 9137153743",Koramangala 7th Block,"Casual Dining, Bar","Asian, American, Mexican","1,400"
KA53,"Shop 12, Hoodi Main Road, Industrial Area, Hoodi, Whitefield, Bangalore",Yes,No,3.9 ,080 49652151,Whitefield,Delivery,"Biryani, North Indian, Chinese",300
24th Main,"Cross Roads Inn, 827, Near RV Dental College Compound, 24th Main, 12th Cross, JP Nagar, Bangalore",No,Yes,4.1,"+91 9900092563
+91 8722148555",JP Nagar,Casual Dining,"North Indian, South Indian, Chinese",800
Imperial Restaurant,"94-95, Residency Road, Bangalore",Yes,No,3.9 ,"080 25588331
080 65588331",Residency Road,Casual Dining,"North Indian, Chinese, Mughlai, Seafood",800
Raapchick,"Opposite Brookefield Mall, Kundanhalli, Brookefield, Bangalore",Yes,No,3.7 ,"080 41717785
+91 9571153004",Brookefield,Quick Bites,"Fast Food, Burger",300
Gurukrupa Paratha House,"144, Ramaiah Street, Between Diamond District & Anjaneya Tech Park, HAL, Old Airport Road, Bangalore",Yes,No,3.9 ,080 71967783,Old Airport Road,Quick Bites,"North Indian, Chinese",400
Midnight Mania,"43, Arasu Nilaya 1st Floor, Opp To Patel Medical, 7th Main Road, 2nd Stage, BTM, Bangalore",Yes,No,4.1,+91 9066022868,BTM,Quick Bites,"Pizza, Italian, Beverages",700
Karavali Lunch Home,"147, 7th Cross, 3rd Main, Margosa Road, Malleshwaram, Bangalore",Yes,No,4.0 ,+91 9900561139,Malleshwaram,Quick Bites,"South Indian, Seafood",300
SL Vadapav,"Near McDonald's, 4th Block, Jayanagar, Bangalore",Yes,No,4.0,+91 9900597313,Jayanagar,Quick Bites,Maharashtrian,100
Sweet Truth,"147, Anjaneya Techno Park, HAL Airport Road, Old Airport Road, Bangalore",Yes,No,4.3 ,+91 7710055553,Old Airport Road,Delivery,"Bakery, Desserts",500
Meghana Foods,"124, Near Jyothi Nivas College, 1st Cross, KHB Colony, Koramangala 5th Block, Bangalore",Yes,No,4.4,080 49653429,Koramangala 5th Block,Casual Dining,"Biryani, Seafood, Andhra, North Indian",600
Truffles,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore",No,No,4.7 ,080 49652818,Koramangala 5th Block,"Cafe, Casual Dining","Cafe, American, Burger, Steak",900
Beijing Bites,"186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",No,No,2.7,"080 42068388
080 42068488",Banashankari,Casual Dining,"Chinese, Thai",850
Savoury Restaurant,"84, Hosur Main Road, Madivala, BTM, Bangalore",Yes,No,3.9,080 49994999,BTM,Casual Dining,"Arabian, North Indian, Chinese, Fast Food",800
Tempteys,"26, 7th Main, 15th Cross, Mico Layout, 2nd Stage, BTM, Bangalore",Yes,No,4.2 ,"+91 7349760223
+91 9611856377",BTM,"Dessert Parlor, Beverage Shop",Beverages,500
Kopper Kadai,"77/A, Ground Floor, Cygnus Chambers, JNC Road, Koramangala 5th Block, Bangalore",Yes,Yes,4.1,"+91 8147957515
+91 8951958515",Koramangala 5th Block,Casual Dining,"North Indian, Chinese","1,200"
Srinidhi Sagar Deluxe,"412, Seventh Cross, Domlur, Bangalore",Yes,No,3.6,080 25354689,Domlur,Quick Bites,"South Indian, North Indian, Chinese",40
Birinz,"1st Floor, BTM Complex, 9th Main Road, 1st Stage, BTM, Bangalore",Yes,No,4.1,"+91 8197022223
+91 9141111222",BTM,Casual Dining,"Biryani, Chinese, Mughlai, Fast Food, Kebab",700
Smoke House Deli,"52/ 53, Ground Floor, Lavelle Road, Bangalore",Yes,No,4.6,"+91 8041277989


+91 8041276272",Lavelle Road,Casual Dining,"European, Italian, Desserts, Salad, Juices, Steak","1,600"
The Donut Baker,"2nd Floor, Transit Food Court, Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore",No,No,3.8,"+91 8069001743
+91 9845808209",Koramangala 7th Block,"Bakery, Dessert Parlor",Desserts,150
Natuna Seafood House,"478, Ground Floor, Krishna Temple Road, Koramangala 5th Block, Bangalore",Yes,No,4.1 ,"+91 8043028330
+91 9591364636",Koramangala 5th Block,Quick Bites,Seafood,450
Desi Flavours,"11, 1st Main, 1st Cross, Jakkasandra Extension, Koramangala 1st Block, Bangalore",Yes,No,3.9,+91 8197326836,Koramangala 1st Block,Quick Bites,"North Indian, Chinese, Biryani",400
Sai Foods,"43/4, Sai Temple Road, Near Family Mall, Marathahalli, Bangalore",No,No,4.1,+91 9008353777,Marathahalli,Quick Bites,North Indian,200
Aubree,"41/1, Sri Sai, 2nd Main, Vyalikaval, Sadashiv Nagar, Bangalore",Yes,No,4.3 ,"+91 9611117777
080 40981077",Sadashiv Nagar,"Cafe, Bakery","Cafe, Bakery",400
Litti Twist,"4/1, 1st Main, Bhuvanappa Layout, Opposite Forum Mall, Hosur Road, Bangalore",Yes,No,4.2 ,+91 9035810598,Hosur Road,Quick Bites,"Bihari, North Indian",300
Foxtrot - House of Subculture,"17, SBI Colony Service Road, Koramangala 3rd Block, Bangalore",No,Yes,4.4 ,080 49652660,Koramangala 3rd Block,"Cafe, Lounge","Cafe, American, Asian, North Indian","1,000"
Mood For Food,"1677, 9th Main, 4th Cross, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",Yes,No,4.0 ,+91 8217834022,Jeevan Bhima Nagar,Casual Dining,"North Indian, Biryani",800
Hyderabad Magic,"127,Kiadb Layout, Near Tech Mahindra, Electronic City, Bangalore",Yes,No,3.8,+91 9611196299,Electronic City,Quick Bites,"Hyderabadi, Chinese, Biryani, Arabian",400
Smacznego,"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",Yes,No,4.2,"+91 9945230807
+91 9743804471",Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550
The Raj Pavilion - ITC Windsor,"ITC Windsor, 25 Windsor Square, Sankey Road, Bangalore",No,Yes,4.2 ,080 61401224,Sankey Road,Fine Dining,"North Indian, Continental, Asian","2,400"
Calicut Restaurant,"43, 1st Floor, Swetha Complex, Near Parivar Lifestyle, Kammanahalli, Bangalore",Yes,No,3.6,"080 65650650
080 25435888",Kammanahalli,Quick Bites,"Kerala, South Indian, North Indian, Chinese",450
Friends Diner,"107/4, Pattandur Agrahara Road, Near ITPL Gate 3, Whitefield, Bangalore",Yes,No,2.8,"080 28410777
080 28410909",Whitefield,Casual Dining,"Continental, Italian, Pizza",700
Capsicum Family Restaurant,"774, 3rd Floor, 16th Main, 7th Cross, 2nd Stage, BTM, Bangalore",Yes,No,3.8,080 49652678,BTM,Casual Dining,"Biryani, North Indian",800
Sasu Maa Ki Rasoi,"Near Amruta Engineering College, Central Jail Road, Kasavanahalli, Sarjapur Road, Bangalore",Yes,No,3.6 ,+91 7760460483,Sarjapur Road,Quick Bites,"North Indian, Chinese",300
Ghee Positive,"9, Nanjappa Reddy Layout, Koramangala 8th Block, Bengaluru",Yes,No,3.8 ,+91 9900693912,Koramangala 8th Block,Quick Bites,"North Indian, Chinese",300
Mangala Hotel,"5, 1st Main, Jakkasandra Extension, Koramangala 1st Block, Bangalore",Yes,No,3.6,"+91 9886998474

080 40944279",Koramangala 1st Block,Quick Bites,"Kerala, Chinese, North Indian",300
Iyengar's Inn,"A/54, 31st A Cross, 2nd Main, National College Road, 7th Block, Jayanagar, Bangalore",No,No,4.1 ,"+91 9886481618
+91 9986033963",Jayanagar,Quick Bites,South Indian,100
Blue Tokai Coffee Roasters,"583, 80 Feet Road, Opposite Bethany High School, Koramangala 8th Block, Banglore",Yes,No,4.0 ,+91 9319970404,Koramangala 8th Block,Cafe,"Cafe, Coffee",400
Nuts Over Salads Cafe,"1, Nirmala Mansion, 4th Cross, 17th A Main, 60 Feet Road, Koramangala 5th Block, Bangalore",Yes,Yes,4.5 ,"080 25533344
+91 7019629831",Koramangala 5th Block,Cafe,"Cafe, Salad",800
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",No,Yes,4.2 ,080 49652895,Koramangala 4th Block,Pub,"Chinese, Continental, North Indian","1,400"
The Filter Coffee,"7M-213, 2nd Block, 80 Feet Road, HRBR Layout, Banaswadi, Bangalore",No,No,4.0 ,+91 9900455577,Banaswadi,Mess,"South Indian, Coffee",200
KFC,"Ascendas Park Square, 3rd Floor, ITPB, Whitefield Road, Bangalore, Whitefield, Bangalore",Yes,No,2.8,080 33994444,"ITPL Main Road, Whitefield",Food Court,"Burger, Fast Food",400
Zhang's - Chinese Restaurant,"1743, Raghavendra Plaza , 2nd Phase, (Near Diwakars Hospital), JP Nagar, Bangalore",Yes,No,4.1,"080 26595988
080 26596420",JP Nagar,Casual Dining,"Chinese, Momos",700
Cafe Mangii,"204/A, Comet Block, UB City, Vittal Mallya Road, Near Lavelle Road, Lavelle Road, Bangalore",Yes,Yes,4.3 ,+91 8022270098,Lavelle Road,Casual Dining,"Italian, Continental, Pizza","1,600"
Tipsy Bull - The Bar Exchange,"2008, 2nd Floor, 100 Feet Road, Indiranagar, Bangalore",No,Yes,4.4,080 49652910,Indiranagar,"Bar, Casual Dining","Chinese, Continental, North Indian, Mexican","1,400"
The Urban Roof,"#406, 5th Main Rd, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043 , Bengaluru",Yes,No,3.9,"+91 9008327727
080 41109889",Kalyan Nagar,Casual Dining,"Italian, Chinese, Continental",800
Behrouz Biryani,"2884,1st Floor Subramanya Nagar, Rajajinagar, Bangalore",Yes,No,4.0 ,+91 7700050050,Rajajinagar,Delivery,Biryani,650
Nandhini,"Near Petrol Bunk, Horamavu Main Road, Banaswadi, Bangalore",Yes,No,3.8,"+91 9590229533
+91 9972166296",Banaswadi,"Casual Dining, Bar","Andhra, Chinese, North Indian",600
Tibetan Mother's Kitchen,"404, 1st C Cross, Near Vodafone Store, 7th Block, Koramangala 7th Block, Bangalore",Yes,No,4.0 ,"+91 8041739260


+91 8553085570",Koramangala 7th Block,Casual Dining,"Tibetan, Chinese, Momos",500
Three Dots & A Dash,"47/1, 4th Floor, 9th Cross, 1st Main, Miniforest, Phase 3, JP Nagar, Bangalore",No,Yes,4.3,080 49652186,JP Nagar,"Bar, Casual Dining","European, Continental","1,500"
Daily Bread,"135/5, 15th Cross, 3rd Stage, JP Nagar, Bangalore",No,No,3.2,080 64526672,JP Nagar,"Bakery, Quick Bites","Bakery, Fast Food, Italian",600
Sichuan,"1552, 19th Main, Sector 1, Opposite Indian Oil Petrol Bunk, HSR, Bangalore",Yes,No,4.0 ,"+91 8151800777
+91 8152800777",HSR,Casual Dining,"Chinese, Asian, Seafood",800
Amber Rush by The Pool,"31 Silver Springs Layout, Old Airport Varthur Main Road, Marathahalli, Bangalore",No,No,3.9 ,"+91 9164716778
+91 7013179604",Marathahalli,"Bar, Casual Dining","North Indian, Chinese, Continental","1,500"
RockSalt,"3rd Floor, 15, Madras Bank Road/ Museum Road, Above NEXA Showroom, Bangalore",Yes,Yes,4.4,"+91 9740255099
080 48909678",St. Marks Road,"Bar, Casual Dining",Modern Indian,"1,900"
